English,French
"Your Previously Completed Forms ","Votre formulaire complété précédemment "
"Create A New Participant Information Form","Créer un nouveau formulaire de participation "
Submit,Soumettre
Cancel,Annuler
"Participant Information Form","Formulaire de partifcipation"
"Administrative and Baseline","Administration et base "
Year,"Année "
Quarter,"Trimestre "
"Agency name","Nom de l’agence "
"Contact person's phone","Nom de la personne à contacter "
"Agency contact person","nom de la personne ressource à l’agence"
"Contact person's phone","Numéro de téléphone de la personne ressource "
"Contact person's email","Adresse courriel de la personne ressource "
Participant,"Participant(e) "
"First name or nickname","Prénom où surnom "
Province/Territory,Province/Territoire
"Start date with RWA","Date de commencement avec PDC "
"Individual's community","Communauté de l’individu"
"His/her gender","Genre "
Male,Homme
Female,"Femme "
"Age (best estimate)","Âge (meilleure estimée)"
"His/her disability (check any that apply.)","handicap (si applicable)"
"Autism Spectrum Disorder","Trouble du spectre de l’autisme "
"Intellectual Disability","Déficience  intellectuelle "
"His/her sources of income in the year before coming into RWA (check any that apply)","Source de revenu pour l’année avant d’adhéré à  PDC (cochez là où il s’applique)"
"Earnings from employment or self-employment","Revenue d’employment ou de travail autonome"
"Canada/Quebec Pension Plan (Disability)","Canada/Québec plan de pension (régime d’invalidité)"
"Social assistance, incl. provincial / territorial disability program","Assistance Social, incluant provincial/ territorial "
"Employment insurance","Assurance emploi"
"Workers' compensation","Compensation pour perte d’emploi "
Other,"Autre "
"Initial Activities","Occupation initiale"
Employment,"Employment "
"Was this person employed as a result of RWA for any part of this quarter?","Est-ce que la personne était employé par  PDC durant le semestre présent?"
"Post Secondary Education","Éducation post-secondaire "
"Was this person enrolled in post-secondary education as a result of RWA for any part of this quarter?","Est-ce que cette personne est enrôlé dans un programme d’éducation post-secondaire dût à l’initiative de PDC ce semestre ? "
Yes,Oui
No,Non
"Job One","Emploi #1"
"Job Two","Emploi #2"
"Job Three","Emploi #3"
"Start date","Date de commencement "
"Name of firm","Nom de l’agence "
Community,Communauté
"Type of Job","Type d’emploi"
"Permanent part-time","Permanent temps partiel"
"Permanent full-time","Permanent temps plein"
"Seasonal part-time","Saisonnier temps partiel"
"Seasonal full-time","Saisonnier temps plein"
"Job title","Titre du poste"
"Number of hours per week","nombre d’heure par semaine"
"Industry sector code","Code du secteur de l’industrie "
"Hourly wage/salary","Payé à l’heure où base salariale "
"Is this self-employment?","Est-ce que la personne est travailleur(euse) autonome?"
"Number of other employees at his/her workplace (your best estimate)","Nombre de personnes employés au même endroit (estimez de votre mieux)"
"(Self-employed, sole employee)","(travailleur autonome, unique employé)"
Unknown,inconnu
"Comments (if any)","Commentaires (s’il y a lieu)"
"RWA Section","Section PDC "
"Facilitator / Coordinator","Facilitateur/ Coordinateur  "
"Participant's ID","ID du/de la participant(e) "
"Supports For Employment","Aide pour employment "
"Does this person require any supports from RWA for employment?","Est-ce que cette personne requière l’aide de PDC pour être employé?"
"Support Details For Job One","Détail du support pour Emploi #1"
"Support Details For Job Two","Détail du support pour Emploi #2"
"Support Details For Job Three","Détail du support pour Emploi #3"
"Job Coach","Emploi superviseur "
"Total $ needed for job coach at this request","Montant total requis pour le superviseur "
"Please describe any other charge not captured above (e.g., for uniform, supplies, fees, devices, ramps, etc.)","Veuillez inclure tout autres coûts non inclus dans le montant précédant (ex.: uniformes, matériel, frais, matériel électronique, rampes, etc.) "
"justification if applicable","Justifications, si applicable "
"Expected duration of program (in months)","Duration attendue du programme (en mois)"
"(Check if less than 1 month)","(veuillez indiquer si c’est moins d’un mois)"
"Type of program","Type de programme "
"College, CEGEP or technical institute","Collège, CEGEP, institut technique"
"Trades school","École des métiers "
University,"Universités "
"(if other, please describe)","(autre, s’il-vous-plaît veuillez décrire)"
"Name of institution","Nom de l'institution"
"Name of program","Nom du programme"
"Supports for Post-Secondary Education","Support pour éducation post-secondaire"
"Does this person require any supports from RWA for post-secondary education?","Est-ce que la personne requière du support de PDC pour son éducation post-secondaire? "
"Tutor (or similar)","Tuteur (où autre)"
"Hourly rate","Salaire "
"Number of weeks needed","Nombre de semaines requis "
"Total $ needed for tutor (or similar) at this request","Montant total requis pour un tuteur "
Provider,"Fournisseur "
"Total $ needed for this other support this request","Total $ requis pour supporter cette demande "
Transportation,"Transportation "
"Number of trips","Nombre de voyages "
"Rate per trip","Montant par voyage"
"Number of weeks needed","nombre de semaines requis"
"Other justification if applicable","Autre justification si applicable  "
"Total $ needed for transportation at this request","Total $ requis pour le transport pour cette requête "
Comments,"Commentaires "
Addendum,“Addendum”
"To be completed ONLY if the participant has a new employer, is newly self-employed or is newly enrolled in post-secondary education","A compléter SEULEMENT si la personne a un nouveau employeur, est nouvellement travailleur autonome ou est nouvellement enrôlé dans un programme d’étude post-secondaire "
"did employment change?","est-ce que la situation d’emploi à changée?"
"did enrollment change?","est-ce que l’enrôlement à changé?"
Quarterly,"Trimestriel "
"Any changes in this person's employment through RWA?","Est-ce qu’il y a des changements à l’emploi dû à PDC?"
"Any changes in this person's need for or use of supports for employment from RWA?","Est-ce qu'il y a des changements aux besoins et supports à l’emploi par RWA?"
"Any changes in this person's need for or use of supports for post secondary education from RWA?","Est-ce qu'il y a des changements aux besoins et supports pour l’éducation post-secondaire par PDC?"
"Was this person enrolled in post-secondary education as a result of RWA?","Est-ce que cette personne s’est enrôlé dans un programme d’éducation post-secondaire grâce à RWA? "
"Please complete this section only if there have been changes in this person's need for or use of supports from RWA for employment since their Participant Information Form or last Quarterly Update (or Addendum).","Veuillez compléter cette section seulement s’il y a eu des changements aux besoins et support fournis par PDC au participant depuis la completion du formulaire d’information ou du formulaire d’évaluation trimestriel (ou Addendum)"
"Please complete this section only if this person was enrolled in post-secondary education as a result of RWA for any part of this quarter.","Veuillez compléter cette section seulement si la personne est enrôlé dans un programme d’éducation post-secondaire du à RWA pendant le dernier trimestre. "
"Please complete this section only if there have been any changes in this person's need for or use of supports from RWA for post-secondary education since their Participant Information Form or last Quarterly Update (or Addendum).","Veuillez  compléter cette section seulement s’il y a eu des changements aux besoins et supports pour un programme d’études post-secondaire fournis par RWA au participant depuis la completion du formulaire d’information ou du formulaire d’évaluation trimestriel (ou Addendum)"
"Please complete this section only if there have been changes in this person's employment though RWA since their Participant Information Form or last Quarterly Update (or Addendum).","Veuillez compléter cette section seulement s’il y a eu des changements au niveau de l’emploi par l’entremise de PDC depuis la complétion du formulaire de participation ou de l’évaluation trimestriel (et l’addendum)"
"If not working, went to new employment or enrolled in post-secondary education this quarter (Please check the best one.)","Sans emploi, nouvel employeur, enrolment dans un programme d’études post-secondaire ce semestre (Cocher la meilleure option)"
"Working This Quarter?","Employé ce trimestre?"
"Went to new employer","Nouvel employeur "
"Going to school","Retour à l’école "
"Not at their job this quarter because of Illness/disability","Incapable de travailler ce trimestre pour cause de maladie/handicap "
"Waiting for recall","En attente "
"Laid off indefinitely","Mise à pied  indéterminée  "
Quit,"Démission "
"Was Terminated","Cessation d’emploi  "
"Other reason","Autres raisons "
"Details, Please","Détails, s’il-vous-plaît "
"Date s/he left the job","Nouvelle emploi (si applicable)"
"New job title (if applicable)","Nouveau titre (si applicable)"
"Promoted this quarter?","Promotion ce trimestre?"
"Any change in hourly wage/salary this quarter?","Changements de paye horaire/salaire ce trimestre?"
"New Hourly wage/salary","Nouvelle paye horaire/ nouveau salaire"
"Any change in the number of hours of work per week?","Changements du nombre d’heure de travail par semaine?"
"yes increase","oui augmenté "
"yes decrease","oui diminué "
"New number of hours per week","Nouveau nombre d’heure par semaine "
"Enrollment Status","Status d’enrollement "
"Still in same program as last quarter","Toujours dans le même programme que le trimestre précédant"
"Finished: Graduated","Complet: Gradué"
"Finished: Did not graduate","Complet: non gradué"
"Withdrew: Illness or disability","Abandon: Maladie où handicap"
"Withdrew: Other reason","Abandon: autre raisons "
"If withdrew or did not graduate, please briefly explain","S’il a abandonné où n’a pas gradué, s’il-vous-plaît veuillez fournir une explication "
"this is an existing Participant Information Form, do you want to enable it for editing?","ceci est un formulaire d’Information sur les Participants, voulez-vous l’éditer?"
"this is an existing Quarterly, do you want to enable it for editing?","ceci est un Trimestriel existant, voulez-vous l’activer pour le mettre à jour?"
"this is an existing Addendum, do you want to enable it for editing?","ceci est un “Addendum” existant, voulez-vous lui permettre de se mettre à jour?"
"Your Previously Completed Forms","Vos formulaires déjà terminé"
"Don't know / not sure","Ne sait pas / pas sûr"
"Was this job-seeker referred by an RWA AOC?","Ce demandeur d'emploi a été renvoyée par une AOC RWA?"
